,lat_four,lng_four,city,town,village,hamlet,state_district
297,50.7236,-3.52751,Exeter,,,,South West England
298,51.5124,-0.0812,City of London,,,,Greater London
299,51.4169,-0.1238,London,,,,Greater London
300,51.6731,-0.023,London,,,,Greater London
301,50.7236,-3.52751,Exeter,,,,South West England
302,51.5563,-0.1375,London,,,,Greater London
303,52.5142,-2.1329,,Dudley,,,West Midlands
304,51.52438,-0.11022,London,,,,Greater London
305,51.5099,-0.1551,London,,,,Greater London
306,50.7236,-3.52751,Exeter,,,,South West England
307,51.76,-0.015,,Broxbourne,,,East of England
308,51.24048,-0.17044,Reigate and Banstead,,,,South East
309,51.5273,-0.166,London,,,,Greater London
310,51.5215,-0.1366,London,,,,Greater London
311,51.8642,-2.2382,Gloucester,,,,South West England
312,51.8642,-2.2382,Gloucester,,,,South West England
313,51.547670000000004,-0.17228,London,,,,Greater London
314,51.547670000000004,-0.17228,London,,,,Greater London
315,51.513999999999996,-0.0753,City of London,,,,Greater London
316,51.2822,-0.8202,Hart,,,,South East
317,51.2322,-0.3324,,Dorking,,,South East
318,50.7236,-3.52751,Exeter,,,,South West England
319,52.0105,-0.7349,,Bletchley,,,South East
320,53.95763,-1.08271,York,,,,Yorkshire and the Humber
321,52.4869,-1.9098,Birmingham,,,,West Midlands
322,55.5818,-1.6569,,Seahouses,,,North East England
323,51.2322,-0.3324,,Dorking,,,South East
324,51.2392,-0.1699,Reigate and Banstead,,,,South East
325,51.8642,-2.2382,Gloucester,,,,South West England
326,50.7236,-3.52751,Exeter,,,,South West England
327,50.7236,-3.52751,Exeter,,,,South West England
328,50.7236,-3.52751,Exeter,,,,South West England
329,51.8891,0.9008,,Colchester,,,East of England
330,51.5147,-0.0992,City of London,,,,Greater London
331,50.7236,-3.52751,Exeter,,,,South West England
332,51.2394,-0.163,Reigate and Banstead,,,,South East
333,51.4609,-0.3731,London,,,,Greater London
334,51.1279,-3.0036,Sedgemoor,,,,South West England
335,52.6359,-1.1375,Leicester,,,,East Midlands
336,51.5492,-0.4824,London,,,,Greater London
337,53.4874,-2.2486,Salford,,,,North West England
338,51.5209,-0.0847,London,,,,Greater London
339,53.7555,-1.8952,Calderdale,,,,Yorkshire and the Humber
340,51.5124,-0.0812,City of London,,,,Greater London
341,51.4596,-0.2141,London,,,,Greater London
342,51.5124,-0.0812,City of London,,,,Greater London
343,50.722,-1.1683,,Ryde,,,South East
344,51.51116,-0.18425999999999998,London,,,,Greater London
345,51.47,-0.4543,London,,,,Greater London
346,53.1794,-2.9438,,,Saltney Ferry,,North West
347,51.48833,-0.60905,,Eton,,,South East
348,54.9148,-2.9413,Carlisle,,,,North West England
349,51.4032,-0.1011,London,,,,Greater London
350,51.485,-0.578,,,Datchet,,South East
351,51.5146,-0.1234,London,,,,Greater London
352,52.9536,-1.15047,City of Nottingham,,,,East Midlands
353,51.5397,-0.138,London,,,,Greater London
354,50.9421,-2.6333,South Somerset,,,,South West England
355,51.888999999999996,0.9012,,Colchester,,,East of England
356,51.5492,0.6939,,Southend-on-Sea,,,East of England
357,51.5105,-0.595,,Slough,,,South East
358,51.54057,-0.14334000000000002,London,,,,Greater London
359,51.473,-0.9129999999999999,,,Sonning,,South East
360,52.9536,-1.1413,City of Nottingham,,,,East Midlands
361,51.5495,-0.4824,London,,,,Greater London
362,51.45625,-0.9711299999999999,,Reading,,,South East
363,51.45625,-0.9711299999999999,,Reading,,,South East
364,52.6551,-1.1361,Leicester,,,,East Midlands
365,50.7191,-1.9812,,Poole,,,South West England
366,51.44491,-0.02043,London,,,,Greater London
367,52.4118,-1.7776,,Solihull,,,West Midlands
368,54.9534,-1.6288,,Gateshead,,,North East England
369,51.6582,-0.3971,,Watford,,,East of England
370,51.456,-0.9763,,Reading,,,South East
371,51.50853,-0.12574000000000002,London,,,,Greater London
372,50.7236,-3.52751,Exeter,,,,South West England
373,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
374,50.7236,-3.52751,Exeter,,,,South West England
375,51.4125,-0.3059,London,,,,Greater London
376,50.7236,-3.52751,Exeter,,,,South West England
377,50.902,-3.4912,Mid Devon,,,,South West England
378,53.09786999999999,-2.44161,,Crewe,,,North West England
379,51.5489,-0.48211000000000004,London,,,,Greater London
380,50.9016,-1.4011,Southampton,,,,South East
381,51.0983,0.0312,Wealden,,,,South East
382,51.47,-0.4089,London,,,,Greater London
383,52.7123,-1.3844,North West Leicestershire,,,,East Midlands
384,54.6633,-3.3680000000000003,Allerdale,,,,North West England
385,51.5649,-0.0054,London,,,,Greater London
386,51.1091,-0.1872,,Crawley,,,South East
387,51.4117,-0.0215,London,,,,Greater London
388,51.5195,-0.09,City of London,,,,Greater London
389,50.7236,-3.52751,Exeter,,,,South West England
390,53.48095,-2.23743,Manchester,,,,North West England
391,51.418,-0.3215,London,,,,Greater London
392,51.5736,-0.2183,London,,,,Greater London
393,51.51113,-0.01565,London,,,,Greater London
394,51.5127,-0.0822,City of London,,,,Greater London
395,50.8722,-0.7396,Chichester,,,,South East
396,51.51113,-0.01565,London,,,,Greater London
397,51.5054,-0.0235,London,,,,Greater London
398,51.4193,-0.1994,London,,,,Greater London
399,52.6423,1.3049,Norwich,,,,East of England
400,51.51279,-0.09183999999999999,City of London,,,,Greater London
401,52.2,0.11667000000000001,Cambridge,,,,East of England
402,51.5099,-0.8871,South Oxfordshire,,,,South East
403,53.7632,-2.7031,Preston,,,,North West England
404,55.5811,-1.6512,,Seahouses,,,North East England
405,50.7236,-3.52751,Exeter,,,,South West England
406,50.7197,-3.5344,Exeter,,,,South West England
407,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
408,51.51279,-0.09183999999999999,City of London,,,,Greater London
409,51.54057,-0.14334000000000002,London,,,,Greater London
410,51.6523,-0.0807,London,,,,Greater London
411,51.5073,-0.1657,London,,,,Greater London
412,50.7236,-3.52751,Exeter,,,,South West England
413,50.7236,-3.52751,Exeter,,,,South West England
414,51.50853,-0.12574000000000002,London,,,,Greater London
415,51.50853,-0.12574000000000002,London,,,,Greater London
416,51.5934,-0.4845,London,,,,Greater London
417,51.5934,-0.4845,London,,,,Greater London
418,53.8995,-1.3642,Leeds,,,,Yorkshire and the Humber
419,51.7155,-0.0623,,Broxbourne,,,East of England
420,51.5347,-0.1246,London,,,,Greater London
421,51.5162,-0.0809,City of London,,,,Greater London
422,54.1424,-0.8032,Ryedale,,,,Yorkshire and the Humber
423,51.4874,0.2832,,South Ockendon,,,East of England
424,51.4874,0.2832,,South Ockendon,,,East of England
425,51.4874,0.2832,,South Ockendon,,,East of England
426,51.5133,-0.3043,London,,,,Greater London
427,51.4874,0.2832,,South Ockendon,,,East of England
428,53.3811,-1.4701,Sheffield,,,,Yorkshire and the Humber
429,51.509009999999996,-0.2762,London,,,,Greater London
430,52.4801,-0.7059,,Corby,,,East Midlands
431,50.5912,-2.4697,,,Wyke Regis,,South West England
432,51.4045,0.1117,London,,,,Greater London
433,51.4623,0.0972,London,,,,Greater London
434,51.4637,-0.1691,London,,,,Greater London
435,51.44491,-0.02043,London,,,,Greater London
436,52.7702,-2.562,,,Rowton,,West Midlands
437,51.1324,0.2637,Tunbridge Wells,,,,South East
438,53.5141,-1.0964,,Doncaster,,,Yorkshire and the Humber
439,53.5141,-1.0964,,Doncaster,,,Yorkshire and the Humber
440,53.95763,-1.08271,York,,,,Yorkshire and the Humber
441,54.9591,-1.5078,South Tyneside,,,,North East England
442,54.58,-1.0017,,,Marske-by-the-Sea,,North East England
443,50.3503,-3.8867,,Modbury,,,South West England
444,51.478,-0.2833,London,,,,Greater London
445,51.4539,-2.0967,,,,Pewsham,South West England
446,50.7236,-3.52751,Exeter,,,,South West England
447,50.7236,-3.52751,Exeter,,,,South West England
448,50.7236,-3.52751,Exeter,,,,South West England
449,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
450,51.128370000000004,-3.00356,Sedgemoor,,,,South West England
451,50.7236,-3.52751,Exeter,,,,South West England
452,51.4999,-0.1144,London,,,,Greater London
453,53.95763,-1.08271,York,,,,Yorkshire and the Humber
454,51.294,-0.754,Rushmoor,,,,South East
455,50.7207,-3.534,Exeter,,,,South West England
456,51.1291,-3.003,Sedgemoor,,,,South West England
457,51.5108,-0.4458,London,,,,Greater London
458,54.9588,-1.6252,,Gateshead,,,North East England
459,51.5061,-0.1268,London,,,,Greater London
460,51.3652,-0.4387,Elmbridge,,,,South East
461,51.5199,-0.1555,London,,,,Greater London
462,50.7236,-3.52751,Exeter,,,,South West England
463,51.2394,-0.163,Reigate and Banstead,,,,South East
464,50.7197,-3.5344,Exeter,,,,South West England
465,52.955,-1.1603,City of Nottingham,,,,East Midlands
466,50.7197,-3.5344,Exeter,,,,South West England
467,51.48199,-2.76973,,Portishead,,,South West England
468,52.1943,0.1355,Cambridge,,,,East of England
469,53.3352,-2.7212,,Runcorn,,,North West England
470,50.4351,-3.5642,,Paignton,,,South West England
471,52.25,-0.88333,,Northampton,,,East Midlands
472,52.3356,-2.0619,,Bromsgrove,,,West Midlands
473,51.5734,-0.0724,London,,,,Greater London
474,51.4796,-0.1737,London,,,,Greater London
475,51.47475,-0.15547,London,,,,Greater London
476,51.51279,-0.09183999999999999,City of London,,,,Greater London
477,51.7513,-2.2931,,Stroud,,,South West England
478,52.8085,-3.1164,,,Llanyblodwel,,West Midlands
479,51.51279,-0.09183999999999999,City of London,,,,Greater London
480,51.8032,-0.2087,Welwyn Hatfield,,,,East of England
481,51.40606,0.01519,London,,,,Greater London
482,51.51988,-0.09446,City of London,,,,Greater London
483,50.7236,-3.52751,Exeter,,,,South West England
484,51.4583,-0.9671,,Reading,,,South East
485,51.5117,-0.0815,City of London,,,,Greater London
486,53.6147,-2.1257,,Rochdale,,,North West England
487,51.6523,-0.0807,London,,,,Greater London
488,51.5176,-0.1145,London,,,,Greater London
489,53.52285,-1.13116,,Doncaster,,,Yorkshire and the Humber
490,50.9623,0.1027,Wealden,,,,South East
491,51.5442,0.07,London,,,,Greater London
492,51.5442,0.07,London,,,,Greater London
493,52.2903,-1.5342,,Warwick,,,West Midlands
494,50.5973,-3.4619999999999997,Teignbridge,,,,South West England
495,50.5973,-3.4619999999999997,Teignbridge,,,,South West England
496,52.7595,-0.3897,South Kesteven,,,,East Midlands
497,51.45213,-0.12300000000000001,London,,,,Greater London
498,50.39,-4.1784,Plymouth,,,,South West England
499,52.2429,0.7105,West Suffolk,,,,East of England
